symbol,timestamp,date,time,hour,day_of_week,open,high,low,close,volume,cumulative_volume,price_return,intraday_volatility,price_trend,time_of_day,is_cpi_day,is_nfp_day,is_month_end,macro_event_day,vwap,vwap_deviation
SPY,2025-01-28 14:50:00,2025-01-28,14:50:00,14.833333333333334,1,597.83,598.72,597.54,598.72,476674.0,5014145.0,0.0014719657433426292,0.00048298525202305885,-2.2799999999999727,14.833333333333334,0,0,0,0,599.240644484633,-0.5206444846329532
SPY,2025-01-28 14:55:00,2025-01-28,14:55:00,14.916666666666666,1,598.73,598.99,598.44,598.9351,461038.0,5475183.0,0.0003592664350615671,0.000482172371908013,-2.064899999999966,14.916666666666666,0,0,0,0,599.2149160992793,-0.2798160992792873
SPY,2025-01-28 15:00:00,2025-01-28,15:00:00,15.0,1,598.9,600.5,598.842,600.47,729458.0,6204641.0,0.00256271505877681,0.0005698749236030156,-0.5299999999999727,15.0,0,0,0,0,599.3624719356366,1.1075280643634642
SPY,2025-01-28 15:05:00,2025-01-28,15:05:00,15.083333333333334,1,600.46,600.67,599.86,599.96,651736.0,6856377.0,-0.0008493346878278851,0.0005740959636374684,-1.0399999999999636,15.083333333333334,0,0,0,0,599.419270234586,0.5407297654140848
SPY,2025-01-28 15:10:00,2025-01-28,15:10:00,15.166666666666666,1,600.01,600.91,599.94,600.83,498086.0,7354463.0,0.0014500966731114673,0.0005957127401127656,-0.16999999999995907,15.166666666666666,0,0,0,0,599.5148128657661,1.3151871342339518
SPY,2025-01-28 15:15:00,2025-01-28,15:15:00,15.25,1,600.82,601.07,600.64,601.02,334663.0,7689126.0,0.00031622921625085176,0.0005929080089126177,0.01999999999998181,15.25,0,0,0,0,599.5803249203095,1.4396750796904598
SPY,2025-01-28 15:20:00,2025-01-28,15:20:00,15.333333333333334,1,601.03,602.01,600.87,601.995,522842.0,8211968.0,0.0016222421882798876,0.0006180035540624322,0.9950000000000045,15.333333333333334,0,0,0,0,599.7340631652729,2.26093683472709
SPY,2025-01-28 15:25:00,2025-01-28,15:25:00,15.416666666666666,1,602.0,602.79,601.93,602.46,669611.0,8881579.0,0.0007724316647148566,0.0006200261005445492,1.4600000000000364,15.416666666666666,0,0,0,0,599.9395803700221,2.520419629977937
SPY,2025-01-28 15:30:00,2025-01-28,15:30:00,15.5,1,602.49,602.53,601.8,601.94,730122.0,9611701.0,-0.0008631278425123012,0.0006240665442171197,0.9400000000000546,15.5,0,0,0,0,600.0915358231806,1.8484641768194479
SPY,2025-01-28 15:35:00,2025-01-28,15:35:00,15.583333333333334,1,601.95,602.56,601.73,602.4,474276.0,10085977.0,0.0007641957670199151,0.0006258389557829638,1.3999999999999773,15.583333333333334,0,0,0,0,600.2000874444984,2.1999125555015553
